Table 1. Data Used in This Study																					
Name																					
 	"Lat., degreesN"	"Lon., degreesE"	"Az, degrees"	"as, degrees"	"ad, degrees"	"Dmax, km"	"L, km"	Vcn	 Vcmpn	Vupn	Vupn (heuret)	"Vtn, mm.a-1"	Vtn (heuret)	Vsubn	Vzn	"A, Ma"	"f, km"	"Fsp, 1012 N.m-1"	UPN	Slab Edge	UPS
COL2	"3,5"	"280,9"	120	26	45	670	1056	47	50	36	35.9	33	33	14	30	15	450	13	c	y	C3
COL3	2	"279,9"	115	21	45	670	1120	42	55	38	38.2	25	25.2	16	25	12	302	13	c	n	C3
PER1	-4	"278,1"	91	11	45	1200	1426	69	69	47	46.6	47	46.6	23	33	30	976	26	c	n	C3
PER2	"-5,5"	"278,1"	83	10	46	1200	1477	71	71	47	47	47	47	24	32	30	966	27	c	n	C3
PER3	-7	"278,4"	71	10	47	1200	1465	71	71	46	45.9	46	45.9	25	32	31	1002	27	c	n	C3
PER4	-9	"279,2"	64	11	49	1200	1377	70	70	45	45.1	45	45.1	25	34	31	1048	25	c	n	C3
PER5	-11	"280,4"	59	12	49	1200	1323	68	68	44	43.8	44	43.8	26	35	46	1593	30	c	n	C3
PER6	-13	"281,7"	56	12	52	1200	1293	68	68	43	42.6	43	42.6	26	35	46	1616	29	c	n	C3
NCHI1	-17	"285,9"	38	17	50	1200	1139	58	58	34	34.4	34	34.4	24	34	52	1783	27	c	n	C3
NCHI2	-19	288	56	25	41	1200	1126	63	73	44	43.6	35	34.6	29	38	54	2036	27	c	n	C3
NCHI3	-21	"288,7"	84	23	40	1100	1168	72	78	48	47.9	42	41.9	30	42	55	2285	29	c	n	C3
NCHI4	-23	"288,7"	95	18	45	1000	1175	71	75	47	46.6	42	41.8	30	40	54	2176	28	c	n	C3
NCHI5	-25	"288,6"	93	17	47	900	1173	71	77	47	46.9	41	41	30	41	53	2156	28	c	n	C3
NCHI6	-27	"288,3"	101	14	49	800	1239	68	73	45	45.1	39	39.4	29	37	52	1910	29	c	n	C3
JUAN1	-29	"287,7"	99	"13,5"	-	670	980	69	75	45	44.6	39	38.9	30	47	49	2322	23	c	n	C3
JUAN2	-32	"287,4"	95	12	-	670	1000	72	77	46	45.7	39	38.8	32	48	48	2299	23	c	n	C3
SCHI1	-34	"286,9"	113	21	35	670	1299	66	66	39	38.9	39	38.9	27	34	42	1423	28	c	n	C1
SCHI2	"-35,5"	"286,2"	118	22	-	-	-	62	62	37	36.5	37	36.5	25	-	39	-	-	c	n	C1
SCHI3	-37	"285,4"	105	24	-	-	-	72	72	42	42	42	42	31	-	35	-	-	c	n	C1
SCHI4	-39	"284,9"	99	25	-	-	-	75	75	43	43	43	43	33	-	33	-	-	c	n	C1
SCHI5	-41	"284,7"	97	25	-	-	-	75	75	43	43.3	43	43.3	33	-	20	-	-	c	n	C1
BARB1	12	"302,6"	278	32	-	670	930	12	12	-28	-28.1	-28	-28.1	41	8	117	969	33	p	y	E1
BARB2	14	"302,3"	251	36	55	670	878	12	12	-30	-29.8	-30	-29.8	42	9	110	999	30	p	y	E1
ANTI1	16	"301,2"	250	39	-	670	900	11	11	-31	-31	-31	-31	42	8	98	788	29	p	n	E1
ANTI2	18	"299,8"	230	37	-	670	870	9	9	-28	-27.6	-28	-27.6	37	7	90	652	27	p	n	E1
ANTI3	"19,3"	298	205	35	-	500	660	6	6	-21	-30.5	-21	-30.5	26	5	84	395	20	p	n	E1
PORTO1	"19,8"	296	185	32	-	500	640	8	3	-12	-11.7	-7	-6.6	15	6	92	553	20	p	n	E1
PORTO2	"19,8"	294	176	35	-	500	630	5	1	-7	-7.3	-1	-1.3	9	4	100	413	21	p	n	E1
PORTO3	"19,7"	292	176	36	-	500	600	5	1	-7	-7.3	-1	-1.3	9	4	110	477	21	p	y	E1
SAND1	-60	"335,4"	319	51	72	670	734	40	6	-16	-15.7	18	17.9	18	36	33	1193	14	o	y	E3
SAND2	-58	"336,2"	265	50	83	670	712	77	4	-24	-24.4	49	49	29	72	36	2604	14	o	y	E3
SAND3	-56	"334,9"	240	55	84	670	701	69	7	-27	-26.9	39	39.4	33	66	40	2632	15	o	y	E3
SAND4	"-55,1"	333	205	57	86	670	695	36	7	-21	-20.8	9	8.5	27	34	40	1368	14	o	y	E3
SAND5	"-54,9"	331	184	58	80	-	-	15	5	-13	-13.2	-2	-1.9	17	-	40	-	-	o	y	E3
PUY	-48	"164,5"	98	60	-	150	-	23	23	66	-	66	-	-43	-	33	-	-	o	y	0
KER1	-35	"181,6"	293	44	70	900	760	46	46	-54	-53.7	-54	-53.7	100	41	95	3861	24	o	n	E2
KER2	-33	"182,2"	288	46	68	1000	762	52	52	-49	-49	-49	-49	100	45	97	4395	25	o	n	E2
KER3	-31	"183,2"	291	40	62	1100	812	55	55	-50	-49.8	-50	-49.8	104	45	99	4462	27	o	n	E2
KER4	-29	"183,9"	286	39	57	1200	848	59	59	-45	-44.9	-45	-44.9	105	47	101	4714	28	o	n	E2
KER5	-27	"184,5"	281	38	"56,5"	1300	857	64	64	-39	-39.4	-39	-39.4	104	50	103	5172	29	o	n	E2
TONG1	-23	"185,4"	298	39	57	670	848	104	65	-47	-47	-8	-8	112	82	106	8739	29	o	n	E3
TONG2	-21	"186,5"	291	38	54	670	877	148	72	-40	-40.4	40	40.4	113	113	107	12070	30	o	n	E3
TONG3	-19	"187,2"	287	36	51	670	914	183	76	-35	-35.2	93	93	112	134	108	14489	31	o	n	E3
TONG4	-17	"187,8"	286	35	53	670	900	183	76	-35	-35.2	93	93	112	136	108	14708	31	o	y	E3
SHEB1	-20	"168,2"	61	50	66	670	760	120	75	57	56.6	101	101	18	106	45	4762	17	o	y	E3
SHEB2	-18	"167,4"	82	48	71	670	745	85	82	85	85.4	96	96.1	3	77	48	3684	17	o	y	E3
